id,url_id,user_id,event_type,timestamp,details
88,88,94,created,2025-03-30 17:57:07,"{""short_code"":""FmEAY3"",""original_url"":""https://example.com/ember/valley/88""}"
89,89,143,created,2025-09-30 15:55:23,"{""short_code"":""knm3lK"",""original_url"":""https://example.com/young/anchor/89""}"
90,90,253,created,2025-06-25 20:16:46,"{""short_code"":""3He6pY"",""original_url"":""https://example.com/jade/signal/90""}"
91,91,172,created,2025-03-01 21:28:18,"{""short_code"":""HzyhBH"",""original_url"":""https://hackstack.io/jade/window/91""}"
92,92,383,created,2025-11-28 14:40:40,"{""short_code"":""Px1Hqj"",""original_url"":""https://example.com/forest/pioneer/92""}"
93,93,233,created,2025-02-01 03:29:10,"{""short_code"":""RMPdsS"",""original_url"":""https://acme.dev/opal/harvest/93""}"
94,94,113,created,2025-02-02 03:32:38,"{""short_code"":""FnkzGD"",""original_url"":""https://opswise.net/ember/window/94""}"
95,95,71,created,2025-12-11 06:13:20,"{""short_code"":""O4WZcZ"",""original_url"":""https://hackstack.io/silver/canyon/95""}"
96,96,205,created,2025-06-18 01:45:49,"{""short_code"":""szsa7Y"",""original_url"":""https://example.com/urban/kernel/96""}"
97,97,199,created,2025-11-06 12:39:31,"{""short_code"":""ijuUPp"",""original_url"":""https://seeded.app/urban/engine/97""}"
98,98,1,created,2026-01-18 12:37:19,"{""short_code"":""fIq33e"",""original_url"":""https://seeded.app/vivid/kernel/98""}"
99,99,229,created,2025-12-01 10:10:51,"{""short_code"":""H0B8JT"",""original_url"":""https://example.com/warm/lagoon/99""}"
100,100,70,created,2025-12-11 16:54:48,"{""short_code"":""s5WG4A"",""original_url"":""https://hackstack.io/young/engine/100""}"
101,101,146,created,2025-04-23 12:51:11,"{""short_code"":""yII3F7"",""original_url"":""https://seeded.app/keen/signal/101""}"
102,102,180,created,2025-02-21 10:34:43,"{""short_code"":""LaaITN"",""original_url"":""https://opswise.net/dawn/field/102""}"
103,103,339,created,2025-02-10 20:50:01,"{""short_code"":""FMWYIh"",""original_url"":""https://opswise.net/rapid/uplink/103""}"
104,104,178,created,2025-05-02 04:35:04,"{""short_code"":""llC3NP"",""original_url"":""https://hackstack.io/calm/yard/104""}"
105,105,398,created,2025-09-17 06:58:45,"{""short_code"":""scY9gG"",""original_url"":""https://opswise.net/dawn/journey/105""}"
106,106,291,created,2025-03-29 14:01:46,"{""short_code"":""CnyMnB"",""original_url"":""https://relay.cloud/ivory/meadow/106""}"
107,107,353,created,2025-06-13 00:17:56,"{""short_code"":""PqxKOa"",""original_url"":""https://relay.cloud/calm/zenith/107""}"
108,108,367,created,2025-12-26 13:36:31,"{""short_code"":""UiCcrc"",""original_url"":""https://acme.dev/rapid/journey/108""}"
109,109,337,created,2025-12-26 01:20:48,"{""short_code"":""DyCwUo"",""original_url"":""https://opswise.net/gold/pioneer/109""}"
110,110,387,created,2025-05-29 15:21:28,"{""short_code"":""UoXLf8"",""original_url"":""https://relay.cloud/young/island/110""}"
111,111,118,created,2025-07-15 18:07:10,"{""short_code"":""PEx8Xm"",""original_url"":""https://relay.cloud/mellow/pioneer/111""}"
112,112,231,created,2026-01-10 21:17:07,"{""short_code"":""oGiidH"",""original_url"":""https://relay.cloud/forest/zenith/112""}"
113,113,391,created,2025-01-07 11:08:31,"{""short_code"":""FrzXmM"",""original_url"":""https://relay.cloud/silver/harvest/113""}"
114,114,142,created,2025-08-23 07:31:23,"{""short_code"":""P9ojf1"",""original_url"":""https://example.com/clear/lagoon/114""}"
115,115,343,created,2025-06-21 09:56:28,"{""short_code"":""m6fiUQ"",""original_url"":""https://seeded.app/cobalt/yard/115""}"
116,116,157,created,2025-09-05 20:38:53,"{""short_code"":""Ozo0xu"",""original_url"":""https://hackstack.io/silver/pioneer/116""}"
117,117,380,created,2025-03-23 10:53:52,"{""short_code"":""QHt9OQ"",""original_url"":""https://relay.cloud/vivid/field/117""}"
118,118,233,created,2025-11-04 18:16:06,"{""short_code"":""2SucPi"",""original_url"":""https://opswise.net/tidy/quartz/118""}"
119,119,22,created,2025-06-18 13:58:09,"{""short_code"":""1cBuTG"",""original_url"":""https://seeded.app/dawn/engine/119""}"
120,120,245,created,2025-11-05 18:27:14,"{""short_code"":""eEBmpe"",""original_url"":""https://hackstack.io/silver/signal/120""}"
121,121,184,created,2025-05-15 09:02:51,"{""short_code"":""imzDKD"",""original_url"":""https://hackstack.io/proud/harvest/121""}"
122,122,197,created,2025-06-30 08:02:24,"{""short_code"":""vcWPLT"",""original_url"":""https://opswise.net/navy/valley/122""}"
123,123,76,created,2025-08-14 03:35:51,"{""short_code"":""CxDEjX"",""original_url"":""https://example.com/ivory/garden/123""}"
124,124,347,created,2025-07-16 14:19:26,"{""short_code"":""zoZFi5"",""original_url"":""https://example.com/ember/trail/124""}"
125,125,369,created,2026-01-09 12:24:37,"{""short_code"":""5qXV2n"",""original_url"":""https://relay.cloud/mellow/island/125""}"
126,126,304,created,2025-03-30 03:25:38,"{""short_code"":""CWjHgJ"",""original_url"":""https://example.com/gold/uplink/126""}"
127,127,397,created,2025-03-01 08:06:14,"{""short_code"":""fDnUZo"",""original_url"":""https://hackstack.io/mellow/meadow/127""}"
128,128,281,created,2025-04-21 08:47:18,"{""short_code"":""ekbgZF"",""original_url"":""https://opswise.net/gold/trail/128""}"
129,129,175,created,2025-11-25 08:26:44,"{""short_code"":""5zb08J"",""original_url"":""https://seeded.app/silver/uplink/129""}"
130,130,95,created,2025-10-12 14:26:19,"{""short_code"":""m078qW"",""original_url"":""https://hackstack.io/jade/orbit/130""}"
131,131,184,created,2025-08-29 16:34:18,"{""short_code"":""jOABD2"",""original_url"":""https://example.com/rapid/quartz/131""}"
132,132,201,created,2025-06-12 01:44:20,"{""short_code"":""kDhGMN"",""original_url"":""https://example.com/quiet/valley/132""}"
133,133,158,created,2025-03-04 11:38:40,"{""short_code"":""N03Ls6"",""original_url"":""https://relay.cloud/keen/quartz/133""}"
134,134,290,created,2025-04-29 15:35:14,"{""short_code"":""t3ua5m"",""original_url"":""https://seeded.app/navy/orbit/134""}"
135,135,217,created,2025-10-06 07:05:00,"{""short_code"":""eNbB2U"",""original_url"":""https://hackstack.io/mellow/trail/135""}"
136,136,102,created,2025-04-19 12:34:29,"{""short_code"":""ylXzaN"",""original_url"":""https://acme.dev/amber/field/136""}"
137,137,245,created,2025-11-23 09:10:28,"{""short_code"":""i6Buho"",""original_url"":""https://hackstack.io/navy/valley/137""}"
138,138,22,created,2025-04-06 20:23:36,"{""short_code"":""q30CEY"",""original_url"":""https://relay.cloud/lively/anchor/138""}"
139,139,51,created,2026-02-07 21:42:21,"{""short_code"":""3dQ6Qx"",""original_url"":""https://seeded.app/warm/signal/139""}"
140,140,277,created,2025-09-20 13:45:46,"{""short_code"":""BdSdHw"",""original_url"":""https://opswise.net/harbor/valley/140""}"
141,141,243,created,2025-10-06 18:34:44,"{""short_code"":""6mkYCR"",""original_url"":""https://seeded.app/cobalt/orbit/141""}"
142,142,395,created,2025-12-29 10:46:31,"{""short_code"":""NjJGym"",""original_url"":""https://relay.cloud/lively/window/142""}"
143,143,136,created,2025-09-22 18:15:34,"{""short_code"":""jyVHkB"",""original_url"":""https://opswise.net/ivory/trail/143""}"
144,144,10,created,2025-03-04 02:54:20,"{""short_code"":""HUTzvY"",""original_url"":""https://relay.cloud/proud/journey/144""}"
145,145,234,created,2025-07-27 19:23:14,"{""short_code"":""95d8Q9"",""original_url"":""https://hackstack.io/opal/uplink/145""}"
146,146,6,created,2025-08-23 06:11:19,"{""short_code"":""x2uDUm"",""original_url"":""https://acme.dev/opal/network/146""}"
147,147,122,created,2025-03-19 03:54:08,"{""short_code"":""naWAbx"",""original_url"":""https://hackstack.io/vivid/journey/147""}"
148,148,75,created,2025-01-12 13:25:35,"{""short_code"":""lV6fhA"",""original_url"":""https://relay.cloud/cobalt/orbit/148""}"
149,149,315,created,2025-12-10 14:14:38,"{""short_code"":""IP3tFW"",""original_url"":""https://hackstack.io/silver/valley/149""}"
150,150,59,created,2025-12-12 03:31:44,"{""short_code"":""sTIqdX"",""original_url"":""https://example.com/warm/kernel/150""}"
151,151,156,created,2026-01-24 06:11:41,"{""short_code"":""ODJcNM"",""original_url"":""https://hackstack.io/urban/meadow/151""}"
152,152,338,created,2025-12-15 06:28:23,"{""short_code"":""cAObHj"",""original_url"":""https://opswise.net/brisk/uplink/152""}"
153,153,223,created,2025-08-08 13:35:58,"{""short_code"":""3ZWa1M"",""original_url"":""https://hackstack.io/dawn/delta/153""}"
154,154,73,created,2025-02-19 07:19:46,"{""short_code"":""TLc6iP"",""original_url"":""https://hackstack.io/keen/delta/154""}"
155,155,70,created,2025-03-24 12:48:19,"{""short_code"":""VnSumk"",""original_url"":""https://hackstack.io/gold/quartz/155""}"
156,156,324,created,2026-02-20 03:11:07,"{""short_code"":""w5nygq"",""original_url"":""https://opswise.net/mellow/engine/156""}"
157,157,187,created,2025-08-15 20:00:22,"{""short_code"":""ARCcZr"",""original_url"":""https://example.com/keen/river/157""}"
158,158,111,created,2025-06-24 17:18:23,"{""short_code"":""LYRwtN"",""original_url"":""https://acme.dev/calm/trail/158""}"
159,159,304,created,2025-11-11 17:39:41,"{""short_code"":""MHfMP4"",""original_url"":""https://acme.dev/vivid/river/159""}"
160,160,200,created,2025-12-23 03:03:31,"{""short_code"":""U74NBS"",""original_url"":""https://acme.dev/navy/orbit/160""}"
161,161,179,created,2025-08-13 01:10:23,"{""short_code"":""sG8mQ8"",""original_url"":""https://hackstack.io/lively/quartz/161""}"
162,162,5,created,2025-05-28 20:30:36,"{""short_code"":""Hg3fhC"",""original_url"":""https://example.com/brisk/delta/162""}"
163,163,335,created,2025-04-11 22:20:22,"{""short_code"":""IbCMoV"",""original_url"":""https://hackstack.io/vivid/anchor/163""}"
164,164,127,created,2025-07-17 09:14:18,"{""short_code"":""BuHHXC"",""original_url"":""https://hackstack.io/forest/trail/164""}"
165,165,24,created,2026-01-29 14:44:17,"{""short_code"":""EBOBYg"",""original_url"":""https://relay.cloud/amber/quartz/165""}"
166,166,310,created,2025-03-30 14:08:42,"{""short_code"":""jWHlgi"",""original_url"":""https://relay.cloud/ivory/engine/166""}"
167,167,310,created,2025-08-22 07:52:03,"{""short_code"":""3dkAEa"",""original_url"":""https://example.com/opal/canyon/167""}"
168,168,280,created,2025-10-24 08:06:54,"{""short_code"":""4gdbP4"",""original_url"":""https://example.com/cobalt/beacon/168""}"
169,169,130,created,2025-06-23 14:03:11,"{""short_code"":""NQcbLQ"",""original_url"":""https://example.com/ember/signal/169""}"
170,170,51,created,2025-08-30 00:28:49,"{""short_code"":""vcvpk1"",""original_url"":""https://relay.cloud/calm/signal/170""}"
171,171,219,created,2025-12-09 04:09:33,"{""short_code"":""KHUSRo"",""original_url"":""https://hackstack.io/young/zenith/171""}"
172,172,169,created,2025-07-16 08:23:31,"{""short_code"":""2vEQWY"",""original_url"":""https://relay.cloud/harbor/harvest/172""}"
173,173,158,created,2025-11-18 16:26:58,"{""short_code"":""MjpR61"",""original_url"":""https://hackstack.io/urban/signal/173""}"
174,174,336,created,2025-04-23 19:15:45,"{""short_code"":""I6ucyQ"",""original_url"":""https://example.com/silver/yard/174""}"
175,175,106,created,2026-01-21 08:55:09,"{""short_code"":""sm7F7E"",""original_url"":""https://opswise.net/navy/quartz/175""}"
176,176,104,created,2025-08-28 17:48:48,"{""short_code"":""7noI6R"",""original_url"":""https://hackstack.io/vivid/signal/176""}"
177,177,160,created,2025-08-19 08:14:02,"{""short_code"":""uthN4f"",""original_url"":""https://example.com/silver/orbit/177""}"
178,178,345,created,2025-09-06 15:06:06,"{""short_code"":""FNI53h"",""original_url"":""https://seeded.app/rapid/window/178""}"
179,179,104,created,2025-03-20 06:37:17,"{""short_code"":""SXLFG7"",""original_url"":""https://example.com/lively/canyon/179""}"
180,180,336,created,2025-03-13 11:50:55,"{""short_code"":""Mj7j8u"",""original_url"":""https://acme.dev/ivory/delta/180""}"
181,181,388,created,2025-02-09 01:02:25,"{""short_code"":""wIDUgZ"",""original_url"":""https://acme.dev/amber/kernel/181""}"
182,182,55,created,2025-06-05 16:56:34,"{""short_code"":""ieN6ZF"",""original_url"":""https://opswise.net/ember/delta/182""}"
183,183,16,created,2025-04-24 14:40:03,"{""short_code"":""H9ga56"",""original_url"":""https://example.com/brisk/quartz/183""}"
184,184,194,created,2025-07-26 12:08:19,"{""short_code"":""Ps6fgT"",""original_url"":""https://acme.dev/clear/river/184""}"
185,185,28,created,2025-03-02 14:04:33,"{""short_code"":""evxh15"",""original_url"":""https://acme.dev/young/uplink/185""}"
186,186,8,created,2025-02-05 23:36:37,"{""short_code"":""cFI3ZL"",""original_url"":""https://acme.dev/warm/kernel/186""}"
187,187,10,created,2025-12-26 04:20:31,"{""short_code"":""hRSYn1"",""original_url"":""https://seeded.app/warm/network/187""}"
188,188,291,created,2025-07-13 14:33:40,"{""short_code"":""NhI3Ke"",""original_url"":""https://example.com/urban/beacon/188""}"
189,189,160,created,2025-12-02 23:24:24,"{""short_code"":""qu2YXd"",""original_url"":""https://hackstack.io/tidy/harvest/189""}"
190,190,224,created,2025-02-06 20:29:10,"{""short_code"":""VQTe2a"",""original_url"":""https://example.com/rapid/kernel/190""}"
191,191,213,created,2025-01-30 16:10:18,"{""short_code"":""3MIF8C"",""original_url"":""https://hackstack.io/ivory/meadow/191""}"
192,192,136,created,2025-01-19 18:29:26,"{""short_code"":""l17tOn"",""original_url"":""https://opswise.net/urban/pioneer/192""}"
193,193,144,created,2025-03-17 13:45:17,"{""short_code"":""41uu9k"",""original_url"":""https://acme.dev/keen/uplink/193""}"
194,194,286,created,2025-06-17 14:01:50,"{""short_code"":""uxZST5"",""original_url"":""https://example.com/brisk/island/194""}"
195,195,226,created,2025-11-09 10:35:06,"{""short_code"":""fbwlAY"",""original_url"":""https://opswise.net/navy/river/195""}"
196,196,376,created,2025-05-10 05:37:44,"{""short_code"":""IAWqyf"",""original_url"":""https://acme.dev/harbor/zenith/196""}"
197,197,365,created,2025-12-06 23:01:33,"{""short_code"":""grPpMI"",""original_url"":""https://hackstack.io/cobalt/kernel/197""}"
198,198,114,created,2025-02-25 00:43:30,"{""short_code"":""Mww3yn"",""original_url"":""https://seeded.app/warm/river/198""}"
199,199,153,created,2025-06-15 21:31:52,"{""short_code"":""b14hYA"",""original_url"":""https://opswise.net/ember/journey/199""}"
200,200,311,created,2025-12-21 23:45:47,"{""short_code"":""bkmM7d"",""original_url"":""https://acme.dev/mellow/valley/200""}"
201,201,62,created,2025-03-19 00:53:48,"{""short_code"":""GTgsXT"",""original_url"":""https://relay.cloud/jade/trail/201""}"
202,202,137,created,2025-11-12 06:58:11,"{""short_code"":""AlUfSS"",""original_url"":""https://seeded.app/opal/harvest/202""}"
203,203,357,created,2025-06-17 03:18:45,"{""short_code"":""MEVNUF"",""original_url"":""https://opswise.net/tidy/beacon/203""}"
204,204,88,created,2025-01-15 04:44:49,"{""short_code"":""io19Lm"",""original_url"":""https://seeded.app/opal/journey/204""}"
205,205,110,created,2026-01-06 22:52:53,"{""short_code"":""as6lBR"",""original_url"":""https://example.com/clear/window/205""}"
206,206,109,created,2025-04-17 02:36:04,"{""short_code"":""zIrOP5"",""original_url"":""https://example.com/forest/garden/206""}"
207,207,37,created,2025-04-15 17:37:45,"{""short_code"":""Z7MJQh"",""original_url"":""https://opswise.net/harbor/pioneer/207""}"
208,208,108,created,2025-12-27 02:13:29,"{""short_code"":""TNfWKH"",""original_url"":""https://relay.cloud/gold/harvest/208""}"
209,209,222,created,2025-01-26 05:57:02,"{""short_code"":""5C2Hlf"",""original_url"":""https://hackstack.io/silver/field/209""}"
210,210,180,created,2025-09-19 10:34:02,"{""short_code"":""RGcQLo"",""original_url"":""https://seeded.app/clear/delta/210""}"
211,211,212,created,2025-06-28 11:33:12,"{""short_code"":""Yon62U"",""original_url"":""https://opswise.net/warm/kernel/211""}"
212,212,151,created,2025-09-01 16:32:53,"{""short_code"":""RSHm7r"",""original_url"":""https://seeded.app/silver/delta/212""}"
213,213,40,created,2025-10-02 02:34:51,"{""short_code"":""AgwxSe"",""original_url"":""https://opswise.net/calm/lagoon/213""}"
214,214,350,created,2025-12-05 08:57:45,"{""short_code"":""2QemdI"",""original_url"":""https://example.com/amber/river/214""}"
215,215,81,created,2025-07-08 10:00:14,"{""short_code"":""zk7Phj"",""original_url"":""https://relay.cloud/young/window/215""}"
216,216,79,created,2025-11-11 09:56:34,"{""short_code"":""c0wT5I"",""original_url"":""https://acme.dev/tidy/island/216""}"
